"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.59,0.06,0.836051177665153,0.797942286340599,0.073948822334847,0.642057713659401
0.6,0.06,0.831051177665153,0.806602540378444,0.068948822334847,0.633397459621556
0.61,0.06,0.826051177665153,0.815262794416288,0.063948822334847,0.624737205583712
0.62,0.06,0.821051177665153,0.823923048454133,0.058948822334847,0.616076951545867
0.63,0.06,0.816051177665153,0.832583302491977,0.053948822334847,0.607416697508023
0.64,0.06,0.811051177665153,0.841243556529821,0.048948822334847,0.598756443470179
0.65,0.06,0.806051177665153,0.849903810567666,0.043948822334847,0.590096189432334
0.66,0.06,0.801051177665153,0.85856406460551,0.038948822334847,0.58143593539449
0.67,0.06,0.796051177665153,0.867224318643355,0.033948822334847,0.572775681356645
0.68,0.06,0.791051177665153,0.875884572681199,0.028948822334847,0.564115427318801
0.69,0.06,0.786051177665153,0.884544826719043,0.023948822334847,0.555455173280957
0.7,0.06,0.781051177665153,0.893205080756888,0.018948822334847,0.546794919243112
0.71,0.06,0.776051177665153,0.901865334794732,0.013948822334847,0.538134665205268
0.72,0.06,0.771051177665153,0.910525588832577,0.00894882233484701,0.529474411167424
0.73,0.06,0.766051177665153,0.919185842870421,0.003948822334847,0.520814157129579
0.25,0.07,0.997390923627309,0.49849364905389,0.252609076372691,0.93150635094611
0.26,0.07,0.992390923627309,0.507153903091735,0.247609076372691,0.922846096908265
0.27,0.07,0.987390923627309,0.515814157129579,0.242609076372691,0.914185842870421
0.28,0.07,0.982390923627309,0.524474411167424,0.237609076372691,0.905525588832577
0.29,0.07,0.977390923627309,0.533134665205268,0.232609076372691,0.896865334794732
0.3,0.07,0.972390923627309,0.541794919243112,0.227609076372691,0.888205080756888
0.31,0.07,0.967390923627309,0.550455173280957,0.222609076372691,0.879544826719043
0.32,0.07,0.962390923627309,0.559115427318801,0.217609076372691,0.870884572681199
0.33,0.07,0.957390923627309,0.567775681356645,0.212609076372691,0.862224318643355
0.34,0.07,0.952390923627309,0.57643593539449,0.207609076372691,0.85356406460551
0.35,0.07,0.947390923627309,0.585096189432334,0.202609076372691,0.844903810567666
0.36,0.07,0.942390923627309,0.593756443470179,0.197609076372691,0.836243556529821
0.37,0.07,0.937390923627309,0.602416697508023,0.192609076372691,0.827583302491977
0.38,0.07,0.932390923627309,0.611076951545867,0.187609076372691,0.818923048454133
0.39,0.07,0.927390923627309,0.619737205583712,0.182609076372691,0.810262794416288
0.4,0.07,0.922390923627309,0.628397459621556,0.177609076372691,0.801602540378444
0.41,0.07,0.917390923627309,0.637057713659401,0.172609076372691,0.792942286340599
0.42,0.07,0.912390923627309,0.645717967697245,0.167609076372691,0.784282032302755
0.43,0.07,0.907390923627309,0.654378221735089,0.162609076372691,0.775621778264911
0.44,0.07,0.902390923627309,0.663038475772934,0.157609076372691,0.766961524227066
0.45,0.07,0.897390923627309,0.671698729810778,0.152609076372691,0.758301270189222
0.46,0.07,0.892390923627309,0.680358983848622,0.147609076372691,0.749641016151378
0.47,0.07,0.887390923627309,0.689019237886467,0.142609076372691,0.740980762113533
0.48,0.07,0.882390923627309,0.697679491924311,0.137609076372691,0.732320508075689
0.49,0.07,0.877390923627309,0.706339745962156,0.132609076372691,0.723660254037844
0.5,0.07,0.872390923627309,0.715,0.127609076372691,0.715
